item_id,date,location,p10,p50,p90
43,2018-01-01T00:00:00Z,7,15.5900335312,24.9455127716,32.372882843
43,2018-01-02T00:00:00Z,7,22.0833530426,29.7505455017,36.1780586243
43,2018-01-03T00:00:00Z,7,22.2009830475,28.735042572,36.0881767273
43,2018-01-04T00:00:00Z,7,21.6891059875,30.7340373993,39.0228652954
43,2018-01-05T00:00:00Z,7,24.1376552582,32.5484580994,39.7389640808
43,2018-01-06T00:00:00Z,7,27.0038948059,34.7767333984,44.682182312
43,2018-01-07T00:00:00Z,7,27.0248374939,36.7756614685,45.4660720825
43,2018-01-08T00:00:00Z,7,17.5155925751,23.2321453094,30.5646839142
43,2018-01-09T00:00:00Z,7,21.9164962769,28.1034927368,35.8023986816
43,2018-01-10T00:00:00Z,7,21.3540496826,27.9801292419,36.4466094971
43,2018-01-11T00:00:00Z,7,21.4194717407,29.5460186005,38.4391098022
43,2018-01-12T00:00:00Z,7,24.1626720428,32.2813415527,40.9019432068
43,2018-01-13T00:00:00Z,7,27.3155612946,35.244052887,45.0086898804
43,2018-01-14T00:00:00Z,7,27.8142051697,36.6476974487,46.6655464172
43,2018-01-15T00:00:00Z,7,17.3462181091,24.3572711945,30.2655124664
43,2018-01-16T00:00:00Z,7,22.9018478394,27.9563808441,34.5279693604
43,2018-01-17T00:00:00Z,7,16.8729000092,27.2931880951,33.4925117493
43,2018-01-18T00:00:00Z,7,21.5091171265,29.1270637512,35.5254936218
43,2018-01-19T00:00:00Z,7,23.8944091797,31.4996204376,39.8108215332
43,2018-01-20T00:00:00Z,7,26.0916690826,34.6587944031,44.2891387939
43,2018-01-21T00:00:00Z,7,26.0549259186,34.5879745483,43.6192817688
43,2018-01-22T00:00:00Z,7,15.9451227188,22.0069351196,29.987077713
43,2018-01-23T00:00:00Z,7,21.3881721497,27.4821472168,33.8865814209
43,2018-01-24T00:00:00Z,7,21.2004146576,27.4114360809,33.4808235168
43,2018-01-25T00:00:00Z,7,23.4358787537,29.0183105469,35.7590522766
43,2018-01-26T00:00:00Z,7,23.7882614136,29.7034873962,35.2136077881
43,2018-01-27T00:00:00Z,7,24.8134040833,33.0885772705,39.2877616882
43,2018-01-28T00:00:00Z,7,25.8620738983,33.8178138733,40.8481864929
43,2018-01-29T00:00:00Z,7,17.1673622131,22.729473114,31.0149116516
43,2018-01-30T00:00:00Z,7,21.4425678253,26.9466533661,33.0933494568
43,2018-01-31T00:00:00Z,7,20.4345417023,26.7388076782,35.5192642212
43,2018-02-01T00:00:00Z,7,23.9891929626,30.4746398926,38.8508148193
43,2018-02-02T00:00:00Z,7,24.6143798828,32.4547653198,41.4095420837
43,2018-02-03T00:00:00Z,7,27.8041152954,34.5047149658,43.3164749146
43,2018-02-04T00:00:00Z,7,29.8129234314,36.3599090576,47.0736732483
