item_id,date,location,p10,p50,p90
36,2017-01-01T00:00:00Z,1,56.5609741211,67.1138916016,75.5921707153
36,2017-01-02T00:00:00Z,1,38.1766204834,46.5884780884,56.2187347412
36,2017-01-03T00:00:00Z,1,42.569026947,52.7256660461,62.3663520813
36,2017-01-04T00:00:00Z,1,43.9545516968,52.2643241882,61.0895004272
36,2017-01-05T00:00:00Z,1,49.9980506897,57.7610435486,66.203453064
36,2017-01-06T00:00:00Z,1,51.0429573059,58.4867782593,69.0721054077
36,2017-01-07T00:00:00Z,1,53.6968727112,62.6315002441,73.7909011841
36,2017-01-08T00:00:00Z,1,55.8380813599,65.6846313477,78.1539077759
36,2017-01-09T00:00:00Z,1,37.6262817383,44.9771842957,53.0205116272
36,2017-01-10T00:00:00Z,1,43.4985237122,53.7884063721,62.4945144653
36,2017-01-11T00:00:00Z,1,47.7356033325,53.8057403564,61.7943000793
36,2017-01-12T00:00:00Z,1,47.4060974121,56.8540763855,64.7068634033
36,2017-01-13T00:00:00Z,1,50.0025978088,58.8539657593,69.4752120972
36,2017-01-14T00:00:00Z,1,54.6609764099,63.7789421082,75.5078887939
36,2017-01-15T00:00:00Z,1,55.3012466431,65.2152938843,78.6346740723
36,2017-01-16T00:00:00Z,1,34.4868049622,43.3671150208,55.0943756104
36,2017-01-17T00:00:00Z,1,40.8436851501,51.5776443481,58.4058456421
36,2017-01-18T00:00:00Z,1,46.2190475464,52.6030082703,61.6689300537
36,2017-01-19T00:00:00Z,1,47.1833686829,55.4011268616,63.7175521851
36,2017-01-20T00:00:00Z,1,49.9300231934,58.0647621155,69.1170196533
36,2017-01-21T00:00:00Z,1,54.4612884521,63.4409408569,73.7413024902
36,2017-01-22T00:00:00Z,1,57.8671836853,69.3605957031,79.7839813232
36,2017-01-23T00:00:00Z,1,36.691368103,45.2674674988,55.2183990479
36,2017-01-24T00:00:00Z,1,43.1939468384,53.1130371094,60.1462936401
36,2017-01-25T00:00:00Z,1,44.0934562683,54.6496963501,62.5609359741
36,2017-01-26T00:00:00Z,1,44.0182189941,54.9950256348,65.3461990356
36,2017-01-27T00:00:00Z,1,50.9507141113,61.0508880615,72.3097229004
36,2017-01-28T00:00:00Z,1,52.3061408997,63.7942848206,77.1241912842
36,2017-01-29T00:00:00Z,1,54.8488960266,65.8287582397,76.6286239624
36,2017-01-30T00:00:00Z,1,37.9502639771,45.5237503052,54.0473899841
36,2017-01-31T00:00:00Z,1,45.0113334656,52.5210266113,59.5956573486
36,2017-02-01T00:00:00Z,1,48.6477203369,59.6183166504,68.178894043
36,2017-02-02T00:00:00Z,1,51.5754089355,60.9879493713,73.2222442627
36,2017-02-03T00:00:00Z,1,57.9510231018,66.7783432007,76.0597915649
36,2017-02-04T00:00:00Z,1,60.1929397583,71.3816299438,81.2585754395
36,2017-02-05T00:00:00Z,1,65.7389297485,74.0690536499,88.5112838745
36,2017-02-06T00:00:00Z,1,42.1172714233,50.9390525818,59.2926292419
36,2017-02-07T00:00:00Z,1,48.5276260376,59.5679206848,67.1968917847
36,2017-02-08T00:00:00Z,1,48.4500617981,57.3429412842,65.061706543
36,2017-02-09T00:00:00Z,1,52.1759300232,62.8736038208,72.6673355103
36,2017-02-10T00:00:00Z,1,54.8814659119,67.6062698364,79.7397537231
36,2017-02-11T00:00:00Z,1,54.8521575928,67.5794754028,79.677192688
36,2017-02-12T00:00:00Z,1,62.9863433838,73.6306762695,84.702796936
36,2017-02-13T00:00:00Z,1,40.8414459229,48.9200515747,57.3090171814
36,2017-02-14T00:00:00Z,1,48.6062469482,59.8010826111,68.4545822144
36,2017-02-15T00:00:00Z,1,48.6611595154,58.331325531,65.8774337769
36,2017-02-16T00:00:00Z,1,50.0213813782,60.2240219116,71.5726470947
36,2017-02-17T00:00:00Z,1,53.8825531006,65.9288330078,77.2636947632
36,2017-02-18T00:00:00Z,1,61.3337020874,68.5686416626,79.3207397461
36,2017-02-19T00:00:00Z,1,62.2248764038,74.7639389038,89.7247009277
36,2017-02-20T00:00:00Z,1,41.9063873291,49.141784668,61.9265975952
36,2017-02-21T00:00:00Z,1,48.5725097656,58.2615852356,66.2152709961
36,2017-02-22T00:00:00Z,1,48.6737289429,59.0403594971,67.6764984131
36,2017-02-23T00:00:00Z,1,51.3249588013,61.574924469,70.8201217651
36,2017-02-24T00:00:00Z,1,55.7629737854,64.9314117432,79.4120788574
36,2017-02-25T00:00:00Z,1,61.3350830078,69.9095611572,84.8324813843
36,2017-02-26T00:00:00Z,1,66.9294662476,76.3227081299,87.0460891724
36,2017-02-27T00:00:00Z,1,39.7888145447,49.5159721375,58.8572120667
36,2017-02-28T00:00:00Z,1,50.4982833862,60.0700569153,70.4971389771
36,2017-03-01T00:00:00Z,1,55.6510124207,65.2842330933,73.1899337769
36,2017-03-02T00:00:00Z,1,61.2983055115,72.9335632324,80.4800415039
36,2017-03-03T00:00:00Z,1,67.1841659546,76.6163635254,86.1597747803
36,2017-03-04T00:00:00Z,1,69.617477417,84.7573547363,96.0204544067
36,2017-03-05T00:00:00Z,1,75.6556854248,87.4336547852,96.7666778564
36,2017-03-06T00:00:00Z,1,48.926399231,57.6266288757,67.9098968506
36,2017-03-07T00:00:00Z,1,59.8128509521,67.6692276001,77.4700546265
36,2017-03-08T00:00:00Z,1,56.9686470032,69.2736968994,79.7113494873
36,2017-03-09T00:00:00Z,1,62.6650085449,74.0018310547,87.209777832
36,2017-03-10T00:00:00Z,1,69.7160873413,78.6061019897,93.6885223389
36,2017-03-11T00:00:00Z,1,69.0184249878,82.2961349487,97.0817184448
36,2017-03-12T00:00:00Z,1,72.5724716187,88.6322097778,98.2077178955
36,2017-03-13T00:00:00Z,1,49.9972381592,61.4396438599,70.7806625366
36,2017-03-14T00:00:00Z,1,57.8430480957,68.0439529419,81.8714752197
36,2017-03-15T00:00:00Z,1,58.9287986755,69.7465744019,82.556312561
36,2017-03-16T00:00:00Z,1,62.4501800537,73.5016174316,84.4533233643
36,2017-03-17T00:00:00Z,1,63.9451370239,78.8896636963,90.3709030151
36,2017-03-18T00:00:00Z,1,69.1824264526,83.9124603271,93.954788208
36,2017-03-19T00:00:00Z,1,73.6992874146,89.8586578369,104.890663147
36,2017-03-20T00:00:00Z,1,48.3270835876,58.6395378113,67.3609161377
36,2017-03-21T00:00:00Z,1,59.7521133423,67.4245529175,78.3296356201
36,2017-03-22T00:00:00Z,1,60.2700614929,68.9659805298,80.9135513306
36,2017-03-23T00:00:00Z,1,60.9615058899,70.1932601929,81.0618133545
36,2017-03-24T00:00:00Z,1,67.5558776855,79.0504455566,89.8790969849
36,2017-03-25T00:00:00Z,1,70.1183776855,83.3233184814,97.4366607666
36,2017-03-26T00:00:00Z,1,78.0419311523,87.1279983521,100.6160354614
36,2017-03-27T00:00:00Z,1,49.7478256226,59.3420982361,68.301109314
36,2017-03-28T00:00:00Z,1,58.7107696533,69.4232940674,79.9284439087
36,2017-03-29T00:00:00Z,1,57.0619277954,67.4189987183,78.1878814697
36,2017-03-30T00:00:00Z,1,62.7296524048,74.0088729858,84.53540802
36,2017-03-31T00:00:00Z,1,68.8481750488,79.9704437256,89.1946716309
36,2017-04-01T00:00:00Z,1,80.417175293,91.9007492065,107.1559143066
36,2017-04-02T00:00:00Z,1,87.7072677612,99.6154251099,111.4636917114
36,2017-04-03T00:00:00Z,1,54.9563980103,65.6917724609,78.8085403442
36,2017-04-04T00:00:00Z,1,68.9066772461,78.2435913086,92.4472045898
36,2017-04-05T00:00:00Z,1,68.4186553955,78.817855835,92.4122543335
36,2017-04-06T00:00:00Z,1,72.6409912109,85.7914123535,94.3563613892
36,2017-04-07T00:00:00Z,1,77.821685791,89.4813766479,108.3078460693
36,2017-04-08T00:00:00Z,1,83.6405639648,95.7571792603,107.0733566284
36,2017-04-09T00:00:00Z,1,92.3414001465,101.7675933838,117.4473342896
36,2017-04-10T00:00:00Z,1,59.1710205078,69.321762085,80.9216079712
36,2017-04-11T00:00:00Z,1,69.0434951782,79.5683822632,92.1661758423
36,2017-04-12T00:00:00Z,1,67.8816680908,79.7996444702,91.1335296631
36,2017-04-13T00:00:00Z,1,76.0117645264,85.8820648193,98.319694519
36,2017-04-14T00:00:00Z,1,76.8340606689,90.402923584,105.9225692749
36,2017-04-15T00:00:00Z,1,85.8995437622,96.557975769,107.4347991943
36,2017-04-16T00:00:00Z,1,91.8559265137,100.1014862061,113.885055542
36,2017-04-17T00:00:00Z,1,56.0479812622,68.3597946167,77.3589630127
36,2017-04-18T00:00:00Z,1,67.3024902344,80.2769546509,90.4360580444
36,2017-04-19T00:00:00Z,1,67.459777832,80.7293243408,90.0690383911
36,2017-04-20T00:00:00Z,1,73.6435394287,83.0233383179,94.8159255981
36,2017-04-21T00:00:00Z,1,76.2256851196,89.3259811401,98.7783813477
36,2017-04-22T00:00:00Z,1,83.2387084961,96.3174285889,106.7252807617
36,2017-04-23T00:00:00Z,1,88.172454834,101.0954589844,112.5553588867
36,2017-04-24T00:00:00Z,1,57.5765838623,67.9869613647,75.8071136475
36,2017-04-25T00:00:00Z,1,65.2987594604,78.071762085,89.7352981567
36,2017-04-26T00:00:00Z,1,67.5182800293,76.9262542725,86.4602279663
36,2017-04-27T00:00:00Z,1,74.3336334229,84.1681747437,94.2714004517
36,2017-04-28T00:00:00Z,1,79.0953369141,88.8648452759,100.0852584839
36,2017-04-29T00:00:00Z,1,81.8550720215,96.7664337158,104.9557952881
36,2017-04-30T00:00:00Z,1,89.0673065186,102.9931869507,116.294708252
36,2017-05-01T00:00:00Z,1,62.5457305908,73.0154418945,82.1320800781
36,2017-05-02T00:00:00Z,1,75.4442367554,88.092414856,101.807762146
36,2017-05-03T00:00:00Z,1,75.0699920654,85.4270248413,97.4941101074
36,2017-05-04T00:00:00Z,1,81.4253540039,93.7358856201,105.9565505981
36,2017-05-05T00:00:00Z,1,83.8030395508,98.3893966675,109.848739624
36,2017-05-06T00:00:00Z,1,88.9315795898,103.8624038696,115.8705596924
36,2017-05-07T00:00:00Z,1,95.5709228516,111.3645248413,125.0221176147
36,2017-05-08T00:00:00Z,1,64.2697753906,75.7211380005,84.7022705078
36,2017-05-09T00:00:00Z,1,75.9041824341,86.9405441284,100.2414398193
36,2017-05-10T00:00:00Z,1,74.6358718872,86.6588058472,98.3332595825
36,2017-05-11T00:00:00Z,1,80.7680969238,92.9651947021,103.9071731567
36,2017-05-12T00:00:00Z,1,87.504447937,99.6645202637,112.5799407959
36,2017-05-13T00:00:00Z,1,93.0886535645,105.0882415771,120.5984954834
36,2017-05-14T00:00:00Z,1,95.0370559692,110.8784866333,123.9125900269
36,2017-05-15T00:00:00Z,1,60.5901794434,71.9451980591,82.6963424683
36,2017-05-16T00:00:00Z,1,75.8067550659,87.7378387451,97.4084777832
36,2017-05-17T00:00:00Z,1,74.4723815918,85.9553527832,98.2270965576
36,2017-05-18T00:00:00Z,1,80.1384735107,92.8794937134,104.8245925903
36,2017-05-19T00:00:00Z,1,90.0809402466,97.7424240112,110.2551193237
36,2017-05-20T00:00:00Z,1,92.3460617065,105.1620941162,119.2243347168
36,2017-05-21T00:00:00Z,1,94.0351715088,109.2820053101,120.9864959717
36,2017-05-22T00:00:00Z,1,62.7746658325,74.3575363159,85.5646743774
36,2017-05-23T00:00:00Z,1,76.3680038452,86.5046768188,97.5684967041
36,2017-05-24T00:00:00Z,1,76.686126709,85.8211746216,98.2300872803
36,2017-05-25T00:00:00Z,1,81.7670669556,93.8077087402,106.8122787476
36,2017-05-26T00:00:00Z,1,88.6883850098,100.3674468994,113.757194519
36,2017-05-27T00:00:00Z,1,90.717918396,102.8361282349,118.853843689
36,2017-05-28T00:00:00Z,1,96.9665298462,109.5708770752,121.5850067139
36,2017-05-29T00:00:00Z,1,66.4607391357,74.0224761963,84.4212265015
36,2017-05-30T00:00:00Z,1,73.2407989502,88.5984115601,101.5699081421
36,2017-05-31T00:00:00Z,1,77.0600891113,86.0756530762,99.7345352173
36,2017-06-01T00:00:00Z,1,82.325378418,97.450378418,109.0416717529
36,2017-06-02T00:00:00Z,1,90.7948379517,102.7322616577,112.0266952515
36,2017-06-03T00:00:00Z,1,94.7748641968,110.2237625122,123.9194107056
36,2017-06-04T00:00:00Z,1,102.3444061279,117.9724731445,131.892868042
36,2017-06-05T00:00:00Z,1,67.2875595093,79.0931091309,91.0211334229
36,2017-06-06T00:00:00Z,1,78.2046508789,91.0618667603,104.545135498
36,2017-06-07T00:00:00Z,1,80.4186096191,94.5739898682,106.2978057861
36,2017-06-08T00:00:00Z,1,85.7273025513,98.1873550415,110.0721359253
36,2017-06-09T00:00:00Z,1,93.6075439453,106.9208297729,118.53465271
36,2017-06-10T00:00:00Z,1,98.7057723999,111.6686248779,124.6382064819
36,2017-06-11T00:00:00Z,1,102.3642578125,116.6216888428,130.5767974854
36,2017-06-12T00:00:00Z,1,70.0220718384,78.6991577148,89.0082702637
36,2017-06-13T00:00:00Z,1,78.6832504272,93.2828598022,102.5578994751
36,2017-06-14T00:00:00Z,1,79.5990829468,91.618888855,101.9513931274
36,2017-06-15T00:00:00Z,1,82.5108337402,99.1681213379,110.5637817383
36,2017-06-16T00:00:00Z,1,93.9013977051,108.1666641235,118.13256073
36,2017-06-17T00:00:00Z,1,97.3906707764,108.8972549438,125.5333786011
36,2017-06-18T00:00:00Z,1,105.2948532104,116.9063262939,131.7487182617
36,2017-06-19T00:00:00Z,1,66.1860427856,76.4097824097,86.9126739502
36,2017-06-20T00:00:00Z,1,75.3526077271,89.7446670532,102.8036727905
36,2017-06-21T00:00:00Z,1,82.4227752686,92.6253890991,101.1189651489
36,2017-06-22T00:00:00Z,1,87.8947906494,100.7761764526,112.0209655762
36,2017-06-23T00:00:00Z,1,94.6317901611,105.8884353638,116.9336853027
36,2017-06-24T00:00:00Z,1,98.1241912842,113.2445602417,124.3716430664
36,2017-06-25T00:00:00Z,1,99.9511184692,115.7834396362,130.9989776611
36,2017-06-26T00:00:00Z,1,67.7237854004,80.6939239502,92.3162841797
36,2017-06-27T00:00:00Z,1,84.8782577515,95.6446762085,107.2315979004
36,2017-06-28T00:00:00Z,1,81.8310623169,95.138168335,110.3149795532
36,2017-06-29T00:00:00Z,1,87.0842590332,98.5271453857,109.9103240967
36,2017-06-30T00:00:00Z,1,93.5264511108,105.1155700684,118.2052078247
36,2017-07-01T00:00:00Z,1,104.3709259033,117.0755233765,128.2994842529
36,2017-07-02T00:00:00Z,1,106.6335220337,124.1260681152,141.8632507324
36,2017-07-03T00:00:00Z,1,73.7576751709,82.7109527588,95.242401123
36,2017-07-04T00:00:00Z,1,85.2350845337,97.9903488159,109.8358001709
36,2017-07-05T00:00:00Z,1,85.9710388184,101.4421081543,113.0826187134
36,2017-07-06T00:00:00Z,1,89.0170211792,103.0228805542,116.0627441406
36,2017-07-07T00:00:00Z,1,93.6401748657,111.6393585205,124.5862045288
36,2017-07-08T00:00:00Z,1,99.5500946045,115.3256607056,133.5752716064
36,2017-07-09T00:00:00Z,1,109.9064178467,126.1198806763,141.3358001709
36,2017-07-10T00:00:00Z,1,72.8061523438,85.7912826538,100.1838378906
36,2017-07-11T00:00:00Z,1,84.9312133789,96.2757034302,112.5653991699
36,2017-07-12T00:00:00Z,1,85.1594467163,98.509147644,113.5652618408
36,2017-07-13T00:00:00Z,1,88.3726501465,102.6088409424,115.1585083008
36,2017-07-14T00:00:00Z,1,98.237739563,109.4938659668,122.1269989014
36,2017-07-15T00:00:00Z,1,102.3559341431,119.0172195435,131.6351928711
36,2017-07-16T00:00:00Z,1,111.4434051514,125.9464111328,137.582244873
36,2017-07-17T00:00:00Z,1,74.332572937,87.3360900879,101.5760345459
36,2017-07-18T00:00:00Z,1,86.080947876,98.2067565918,108.7624969482
36,2017-07-19T00:00:00Z,1,86.3636779785,98.8835754395,111.5008544922
36,2017-07-20T00:00:00Z,1,91.5608139038,105.8408203125,116.9447174072
36,2017-07-21T00:00:00Z,1,99.9193115234,110.1443252563,123.5853805542
36,2017-07-22T00:00:00Z,1,102.6311187744,113.4370269775,127.6657485962
36,2017-07-23T00:00:00Z,1,107.4575653076,121.6004257202,133.1353912354
36,2017-07-24T00:00:00Z,1,69.7793655396,86.0386581421,98.9671325684
36,2017-07-25T00:00:00Z,1,86.6568984985,98.159576416,109.6432495117
36,2017-07-26T00:00:00Z,1,81.5706939697,94.716468811,108.5082321167
36,2017-07-27T00:00:00Z,1,88.18724823,100.8505859375,113.851348877
36,2017-07-28T00:00:00Z,1,93.0422744751,105.3932723999,119.4162979126
36,2017-07-29T00:00:00Z,1,97.6750335693,111.5094680786,126.938041687
36,2017-07-30T00:00:00Z,1,100.9297943115,118.4309997559,131.6425323486
36,2017-07-31T00:00:00Z,1,65.5758514404,79.4381866455,90.4450149536
36,2017-08-01T00:00:00Z,1,74.3750839233,87.8501052856,104.2390365601
36,2017-08-02T00:00:00Z,1,75.362159729,86.6197052002,102.2072601318
36,2017-08-03T00:00:00Z,1,78.2814025879,91.0786361694,103.9993591309
36,2017-08-04T00:00:00Z,1,84.9240341187,98.8660583496,112.2939987183
36,2017-08-05T00:00:00Z,1,84.9108352661,102.4776535034,116.0640792847
36,2017-08-06T00:00:00Z,1,91.4756164551,107.778465271,121.6649169922
36,2017-08-07T00:00:00Z,1,60.5266189575,72.3494262695,84.5051116943
36,2017-08-08T00:00:00Z,1,73.1450424194,83.3240585327,95.0691070557
36,2017-08-09T00:00:00Z,1,71.8885726929,82.8354949951,95.859664917
36,2017-08-10T00:00:00Z,1,77.0797576904,91.9213562012,105.9311904907
36,2017-08-11T00:00:00Z,1,86.9057159424,99.3039703369,113.4443740845
36,2017-08-12T00:00:00Z,1,86.7205505371,101.2506561279,118.754196167
36,2017-08-13T00:00:00Z,1,95.5389709473,109.4133300781,123.9869766235
36,2017-08-14T00:00:00Z,1,59.0608062744,72.174621582,83.7960281372
36,2017-08-15T00:00:00Z,1,70.5247039795,81.631111145,97.6259613037
36,2017-08-16T00:00:00Z,1,69.6774520874,83.1845016479,100.4854812622
36,2017-08-17T00:00:00Z,1,79.9502029419,91.9468536377,104.7795944214
36,2017-08-18T00:00:00Z,1,85.490234375,98.4816360474,109.7984161377
36,2017-08-19T00:00:00Z,1,91.9455871582,103.5674285889,115.9568786621
36,2017-08-20T00:00:00Z,1,97.327545166,110.092300415,127.9463729858
36,2017-08-21T00:00:00Z,1,62.7051963806,73.0274429321,83.0180511475
36,2017-08-22T00:00:00Z,1,69.3008499146,85.9145355225,98.6988143921
36,2017-08-23T00:00:00Z,1,73.8745498657,84.5548171997,95.865486145
36,2017-08-24T00:00:00Z,1,78.5904693604,89.4678573608,100.6087112427
36,2017-08-25T00:00:00Z,1,81.3658294678,95.093460083,111.0607070923
36,2017-08-26T00:00:00Z,1,90.7625579834,104.4192733765,113.799079895
36,2017-08-27T00:00:00Z,1,93.5234909058,109.7916107178,121.3692169189
36,2017-08-28T00:00:00Z,1,62.9269065857,73.8765335083,87.8136520386
36,2017-08-29T00:00:00Z,1,67.778137207,83.5520553589,95.2853622437
